RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1748.2161486207299,1758.876201423066,1770.520887597272,1780.3175663214076,1790.1892507868008,1799.0497038564183,1810.2965954228903,1820.3735711885088,1834.6876840309178,1846.050856397993,1860.8164323148649,1873.6433339154848,1884.411758475881,1893.810895065216,1902.3416825679615,1911.1442508546854,1919.3776600307533,1928.6926481572118,1938.7232842485814,1947.750128039134,1955.9803315530517,1964.380084582859,1971.830512206976,1981.399355630214,1995.0506045333277,2007.9787275081792,2022.199203687756,2032.0522505880676,2043.2567966580116,2051.361030416271,2060.2417919419736,2066.5932525158146,2075.207621700871,2083.827470711642,2094.4634614488405,2103.418466439934,2113.2191645032203,2124.729932831368,2130.7120780876035,2138.029583477964,2142.9860984694737,2154.2397920035824,2163.83712323026,2175.0143324152277,2182.8822420752267,2191.8595663785377,2201.3430877162505,2210.0029657192085,2215.9367150131193,2219.911534166762,2227.9815503404125,2237.018191970202,2247.043776540028,2253.1795722221514,2259.5846062968403,2265.9477796808574,2273.3496634092203,2279.596314789471,2284.195939330769,2289.6070327692014,2295.5847448788477,2302.074747488285,2297.643555821184,2290.5237873697297,2281.782582868927,2273.4186932045936,2268.416071117847,2261.7626140458487,2256.7737775609767,2256.621238458914,2261.111287951168,2263.605931278164,2269.1962657029326,2273.8576815243173,2283.368266667164,2293.9976262478417,2311.7179383882153,2338.3933621295682,2369.1250611442283,2404.6627504359326,2436.8662123269546,2464.7495755011787,2486.4867502916986,2511.6245898274105,2532.9931095331103,2558.2221630647227,2576.8045251278945,2601.761900326863,2621.725284773536,2638.87246315511,2652.0542297632996,2662.7786531219817,2673.0677627409195,2677.836746121378,2684.258236312,2689.4890886046564,2695.4059846057808,2699.716779279876,2706.565671584756,2712.1787748539227,2714.3446747997477,2715.02029960913,2714.9937598465654,2719.543342719214,2721.535519948262,2728.726237796102,2731.5712199046666,2738.1603159304636,2744.8456040534243,2750.6598179895655,2756.640462742582,2760.0041879013484,2766.7168159609223,2773.764374378654,2782.2289008197176,2787.3525008329575,2795.3195379042413,2802.7028719450436,2813.715747032907,2821.69642019932
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1404.9243463296664,1406.1831262591868,1410.477809202383,1413.8978186531974,1419.3997882880042,1422.0421035677152,1425.0995776301515,1429.1178700941318,1433.3083165008188,1438.5639120069206,1442.7707376596918,1447.6212468673552,1451.718056302321,1454.984531301833,1457.1937343037127,1458.2042113640837,1459.1110902372752,1462.4921281129316,1467.4727488685958,1474.3918327217514,1477.5274125814556,1480.3496235766281,1479.9640335088227,1479.4072347539213,1480.751267343841,1486.660957208882,1494.865178420801,1500.9406129300664,1505.0730893071047,1506.148704375826,1506.7103271322221,1505.0701830997189,1508.502635500985,1509.8468462687752,1514.1273154119233,1517.615801061147,1521.8220492699886,1525.914960424447,1526.5225172405267,1528.5446308273786,1530.8646140998947,1535.7780632526055,1540.3788388198436,1542.4576853739181,1541.906243394696,1542.6718101614038,1546.5666454269697,1553.716140068156,1557.8763080271394,1560.0456254101982,1563.0977967363863,1566.4551947816396,1570.5934515188187,1573.8353273596076,1577.3521853664852,1583.5313926337114,1590.1017787635687,1596.7917399678474,1600.3817863993643,1601.95343513493,1605.2608052663159,1609.401878949335,1611.7753415961008,1602.0743600852811,1590.7487368469822,1581.436856172278,1576.502670806053,1571.6697661474436,1564.874679396622,1554.894569410193,1547.241049992164,1545.373631463292,1544.6054220007445,1549.8369609223253,1556.49091091589,1573.260940582253,1589.9539648049135,1607.5147835716434,1621.683190658749,1635.6681311513132,1650.9636785031544,1665.9944676465548,1680.7267652589862,1693.6184157279386,1706.5415158623505,1715.704458798289,1726.4386970784792,1736.8607904246046,1750.3908829109714,1761.23342210911,1774.0386010392062,1784.7410646044113,1795.9872246268997,1808.039463667742,1819.2188382316172,1828.8323702836535,1835.6082394228977,1842.507464202595,1850.6022243923333,1856.4490240941516,1864.9274770820693,1873.9161850719267,1882.8738291894254,1892.9492124287724,1899.8671830867684,1904.3687356841756,1906.9238282716615,1914.9226438970186,1925.238690278057,1936.0736844234539,1944.949943491614,1953.7896891974046,1959.1258874759749,1965.3326061098128,1971.3671081315513,1977.8443234495542,1986.4558578149306,1996.8411336676504,2009.2654984884464,2018.456000318667
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1201.8561912342245,1203.4005246784998,1207.8953044130192,1209.467124808366,1211.983060864492,1214.205302201691,1217.0032143811084,1221.682417971672,1223.121446231424,1225.2775008265874,1225.8702304067933,1227.116762973981,1229.7586469122111,1230.778533752384,1234.208265956463,1233.6530743333017,1231.0877825230116,1228.895524964269,1229.8940400812176,1231.504310371856,1229.6402316139804,1228.7258372633555,1225.5865003784816,1224.9497909305435,1225.8202483060384,1231.7734041926576,1237.8506229492523,1237.7968361288329,1240.7925359358912,1239.8563882508474,1242.3940076425129,1241.4619834628047,1251.9144896435691,1261.8835615079,1275.0290343669835,1283.1843424751894,1286.9006877377685,1290.6762739644603,1288.4922996542066,1293.1668161121668,1291.9145176818806,1295.2928418162146,1295.4174514443373,1297.9762868518844,1297.8989214363796,1299.9704890503522,1302.4022556693405,1303.0111793008577,1304.090885338775,1300.7280578009752,1304.7692020101706,1307.4698536146445,1313.5424145170828,1317.8969273284222,1322.3533835414912,1326.4850442631057,1327.8463797488098,1327.8114764458142,1326.7015647569094,1329.1858658685126,1333.3677126507203,1340.103052227425,1346.737210440331,1342.5812186277838,1333.4655960361029,1323.1003533575642,1322.5384550057952,1324.2455852460928,1327.4549273381365,1331.9291453032097,1337.0124334467112,1340.7354913644112,1344.386445232948,1346.5655460439327,1351.6594262768167,1363.3020615632738,1380.3399894564486,1402.434195160697,1420.162968729759,1439.0671370467517,1455.5105640396696,1468.8099611772013,1480.0267727057615,1488.2698960997247,1496.0584408068773,1504.644994105242,1512.1965519914638,1521.497653353758,1528.4293249515033,1537.083055199546,1544.2876556108886,1549.0691143796355,1551.0701272918395,1551.8439420275758,1553.7245932052983,1558.413026688876,1563.930798565412,1569.8417227579023,1577.6458232144323,1579.42327314119,1582.771490636425,1583.2641368969312,1585.9802912569974,1586.900652782752,1587.6259432126744,1589.39154752083,1593.301076395173,1599.0612742425199,1602.5704522846372,1605.3680608632308,1606.5149699557467,1609.982094300582,1612.3032330936296,1614.840485398192,1617.065831487937,1621.485259747392,1627.8247921303494,1634.4910548862267,1639.270250265752,1641.8247313800769
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,922.6331803808788,933.4574964589674,937.7032629529307,946.8126782819771,947.1789377544693,953.1077487876719,954.3432450297561,957.6627263076367,962.7415784089594,968.9485620688338,974.9018273649388,979.7160150462281,984.6729860748668,986.1245339533469,989.1457027244472,991.23091788851,997.3204962015491,1002.2537123763167,1007.6931851426393,1012.2790100307283,1016.0185475370512,1019.1081682618632,1023.0096069410291,1027.1628127141425,1033.8724376585292,1039.6428715053812,1047.2281946373735,1051.115566505604,1058.2295042617595,1062.4928962722136,1068.7536517947908,1073.2724652286595,1078.3624632932003,1084.351003388591,1090.1317213422178,1095.3814661326599,1100.2809450439122,1104.7706788291664,1112.6353436970016,1120.1365991928817,1127.79725477432,1134.4533038457946,1141.7118993335462,1149.5976877083735,1158.4416028345272,1166.814700166416,1175.4685050135201,1183.2451201113688,1188.8367752526574,1197.0014284894137,1202.667366833538,1211.0252131909945,1217.3237336399545,1226.415124558306,1234.3758648798616,1243.2636687012755,1251.61077585198,1260.354854669205,1269.1974331538236,1279.441510670206,1291.4943549489235,1302.5408503826814,1304.5962796180777,1302.721097270602,1299.3908424094354,1299.161823559049,1306.6495826539349,1318.1130907872766,1333.211682684843,1350.294722461734,1367.567036843847,1383.1395097650234,1399.0662258311743,1414.0725752440192,1434.8239516532742,1462.1484566367665,1499.429842701062,1540.652952428336,1581.3858337837844,1618.4439087866392,1650.300710455168,1676.574355639446,1697.1256927942322,1714.2314717806203,1727.7301683581622,1738.5470596364296,1747.700505528275,1756.1069023580662,1761.1845472923264,1764.912411655725,1763.7882767556946,1761.0749772645997,1755.562359761135,1752.015179559513,1751.2309234589482,1753.6279401586385,1754.0008831123732,1755.887949234677,1761.309917402581,1762.8078041736342,1762.6759393997502,1759.4081439715249,1759.7223311882442,1758.8528127815223,1758.5032902339306,1760.8909751127287,1762.3628960223111,1764.2606392521498,1767.6765959046402,1770.5965910444118,1769.6095148861243,1769.9088584603649,1770.1597250681157,1771.9909521434706,1772.862941709612,1775.6503278096907,1779.8918517036013,1781.761790898407,1783.6683162522088,1783.9955535648494
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1657.88201269929,1666.6981119642087,1673.088645181784,1674.0342267689562,1678.7995302973861,1683.2958172912702,1695.8297231955212,1707.4394926797306,1718.7322423818703,1729.339952789227,1735.3054133535854,1746.391697003083,1751.9292394354607,1757.8489861075902,1763.7273368134868,1771.167548499123,1778.9767586742544,1789.6971373267959,1797.8449174679724,1805.9200594701208,1812.6002738090622,1820.732183025052,1830.4040674196717,1837.057675649765,1844.555165886947,1856.3770103912534,1870.7715200665068,1885.63647449876,1895.1633286636234,1903.1731344209602,1910.989463521935,1917.2031462458174,1924.1919285335407,1930.8793183227006,1939.2930422352556,1945.6792067811143,1957.2951459637304,1967.5720673199282,1978.0622098011142,1984.7505371754294,1993.805482621472,2000.6490067509967,2007.1515987387331,2014.7144801766233,2023.6352140978174,2030.8254977767542,2034.8425513194406,2042.0299636762463,2048.0526391107537,2054.1560674656284,2056.396179258333,2061.2798887704694,2066.8393877342346,2074.196487281352,2082.0908687150095,2089.8738195180863,2096.3604791210614,2103.9318703978893,2112.7801337159235,2120.6125698719934,2126.67008482552,2132.44270858282,2133.4556561126014,2125.3598957140493,2115.7793674051118,2111.175207279582,2114.0596165940515,2117.0502850661173,2124.6941300323006,2143.0181620446815,2165.001410738876,2183.695519127783,2198.46849704146,2212.793149130495,2231.1481355234637,2256.0581575176475,2286.9734346726664,2317.186667902458,2356.205561475094,2400.23122293301,2452.2207321550054,2492.0714004242623,2528.0383442101643,2558.264113941078,2588.7945452649215,2618.534206951764,2644.2128987521764,2678.347187849125,2710.5051394917546,2746.4028355084542,2768.298146676922,2790.1983916171935,2797.797372575046,2803.13408109195,2802.2082918583055,2810.3931668181453,2817.9406094048154,2827.1197517788523,2842.626330093049,2855.754733432491,2871.537864668495,2878.846610642622,2887.796539016788,2892.980976753966,2897.4584266504444,2899.219986849218,2898.8387746569815,2902.4295770532144,2911.496417113768,2919.2535974376656,2922.7694631325357,2922.1471827421356,2918.806185805614,2919.965899195165,2924.4409064430956,2930.5731414389775,2942.1789490213255,2959.275880365476,2981.70131834505,2997.9043468566647
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1911.182680935456,1920.079015264723,1928.6757130309454,1938.7671888033683,1942.1066280894838,1948.198075859085,1954.7675423273988,1968.5051506317593,1976.8828936831342,1987.442236999362,1991.2815511562014,2001.2652480315983,2008.3054312740874,2015.3835484152887,2016.6720222562587,2018.350537220767,2028.2144262741,2040.007585145744,2049.8953601382627,2052.876387920027,2060.2780028664683,2064.310333886235,2074.923732484689,2075.8891402529252,2086.4660533407164,2096.2181076767138,2113.990689761153,2126.455980245384,2131.3887064997994,2135.655748413899,2139.1846204661833,2146.7275813351107,2153.6438014771365,2157.0922572330187,2163.0621456631284,2170.2563587988475,2179.5465456317656,2184.210873680851,2189.688190053096,2194.5739105270086,2198.149383553662,2201.8915743136226,2205.2524441644387,2209.961268534331,2215.0579318545224,2223.0881231288827,2229.5798755941505,2237.3982551894874,2238.6670358381875,2243.8843425177506,2245.689912561314,2250.447335418137,2258.3512307242577,2265.9197126642116,2274.446819126855,2281.0833951585123,2286.878961049899,2292.696339827146,2297.240130245011,2302.0032444095245,2308.920553667727,2315.3879802359406,2317.393407851751,2307.4968551170327,2295.434401091029,2284.6399646059485,,2277.9063370852496,2284.6646136571644,2299.86029063413,2314.5390692778037,2332.1156543715647,2350.7767875636314,2374.0188707801735,2396.30127756219,2421.03041128688,2452.3009419914406,2495.025709959035,2553.2536284931566,2625.098706899972,2690.5198870611716,2737.0877172568726,2773.075136467203,2801.5615588461787,2828.558866591689,2850.7665696471413,2878.614582875288,2913.5617527895356,2943.2020037610087,2964.207111826752,2966.26579315189,2958.907243180847,2948.0987377411875,2942.6976204818075,2944.579996608038,2945.9911021915104,2948.2998220060263,2952.3669718287683,2964.593347913378,2975.013908685388,2985.1806400096175,2993.222392837135,3008.6352290620016,3023.910083456261,3034.249318406052,3040.901539992137,3043.5731923508765,3058.5309002838085,3072.6677414136725,3085.871050163705,3089.2657037285057,3089.630658475753,3090.6888207932434,3094.249781974522,3096.893794239393,3100.55456833489,3110.366365664199,3123.5281053571234,3137.5353018153824,3142.717769412146
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2221.328814676004,2235.7783216061675,2255.145933407334,2265.5135299050903,2275.521253399163,2289.171492508238,2292.9785879753263,2298.103794508346,2310.289327171182,2327.6551754173724,2335.2023027972878,2333.2592257011206,2334.160141160759,2340.733047041508,2346.979572089653,2345.3031197395185,2341.148392636894,2340.842792769796,2346.250506717222,2354.192442153737,2359.2543748461608,2365.63019985524,2381.306863112118,2389.5732710613065,2391.0468483856016,2383.7748930481443,2379.0967755134106,2383.622630857187,2385.3971473597703,2390.3643740283756,2395.6947167956832,2402.112188679113,2401.1781016459045,2394.09860318812,2389.9344920900908,2397.4043479288794,2406.444547963699,2411.066319312681,2413.1731189295615,2420.8047867428727,2427.3478159236165,2432.8358633656726,2432.3186186973894,2435.71022203407,2437.812713617626,2441.8827055703086,2444.767458036058,2447.275581999397,2458.671451109512,2473.252121547127,2485.852763890968,2492.1202859823916,2501.5298239913104,2509.8464797775023,2522.410660059296,2531.6065079050804,2546.5321860463714,2563.3429981461495,2578.891535135203,2591.4736338407897,2598.405354264026,2607.492609012137,2601.392932366927,2585.6863157345874,2556.704716247822,2518.3345235776023,2485.1809570846526,2448.398175023529,2409.5230393720813,2382.9769777353704,2369.7911616410265,2370.5934648239927,2369.234315693521,2372.087188997747,2378.2234027773457,2398.859827973059,2422.7571801015915,2459.053159164832,2496.0171902839456,2542.326438663061,2593.9024058563355,2637.836303795835,2685.7962892168175,2720.5045205148526,2760.2622598416824,2788.523612019932,2822.685204269379,2852.3380752750377,2891.6715098414957,2928.944412013659,2967.055289469812,2997.2920886540037,3015.934837488806,3031.3132646055274,3030.920646204239,3033.466825235826,3037.9834268754776,3044.7604492213927,3050.962410475971,3061.4014157442443,3068.3317685375782,3079.3547232610135,3084.803772914077,3097.2641824410707,3112.361327897842,3123.3821767542768,3124.4660473459803,3135.7521207565665,3150.1008476437023,3166.7559676343717,3179.1993444383857,3186.6828828580233,3190.850190619329,3189.6900347172545,3191.879080328859,3190.115074737418,3190.500690167986,3196.351419170563,3215.2194994974175,3226.2002037383477
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1622.686298660871,1633.2918006715,1642.8377265752165,1651.7336316993985,1658.5297039795794,1665.1461410027039,1672.2483042911701,1680.4666056580604,1687.490278675202,1690.810297867809,1699.4342566228934,1708.247052452351,1714.82560768219,1716.5955032490483,1716.440492895279,1715.6405480049025,1713.468951556634,1711.3738422087997,1711.423825065472,1709.5350299551917,1708.9985463137637,1708.193309407437,1708.172742523843,1706.5536799242072,1710.2139193595458,1714.4147304843952,1721.3495545499372,1722.245051091921,1723.7682282428916,1725.1914463440128,1726.932759798664,1730.7342892469878,1734.1800329704654,1738.6137792090685,1738.7377200392953,1740.6852636147594,1742.7256686732776,1748.2143996005482,1750.830904244344,1755.4359988048775,1757.4721402324385,1763.182882181336,1768.718807897604,1774.6472130300954,1779.1012800723431,1781.706749206875,1783.6406147482767,1786.101341585731,1788.8128761556015,1789.2400021091498,1790.8870586048506,1794.3626818923,1800.1490179456562,1803.398193050836,1806.470713184699,1808.8279133812657,1812.564549890086,1817.6708232363912,1825.4421679070892,1832.6291622784397,1839.028480666122,1845.9903256387367,1838.9179450876657,1828.935611069139,1818.0106494941963,1812.78619822385,1813.052650701116,1814.212635000813,1814.1744631694344,1822.0588890960921,1837.8391473167312,1855.1659012674095,1879.6322798159258,1909.4236813685081,1943.622604599539,1981.9141530601587,2025.2872371545388,2078.9829138022155,2140.9379631607935,2204.706900574175,2267.569345761748,2321.322089905164,2370.431318436191,2424.250168669198,2473.196647848739,2529.4639849145115,2577.810696075799,2631.53116755742,2675.8338682126764,2710.0391877789484,2732.690023003666,2746.625145626397,2760.5488185787826,2765.7855173671924,2769.5458294267823,2775.289876393855,2781.8408458565455,2782.6314309663185,2781.7404430904307,2781.4260774721956,2783.004027795145,2784.2584121017057,2784.0008503551335,2786.380421089282,2787.1626636129126,2796.609024879189,2808.692113932548,2814.2203631358893,2819.7990801791207,2823.1544919969506,2829.7851260427096,2831.350705548864,2834.0718184424613,2838.1736272226203,2845.8152990642957,2854.239495963991,2863.142526198733,2870.3602761521843,2875.8716664767744,2883.19932811018
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1053.078168257494,1056.2539957011627,1061.2963993409383,1070.7287022637192,1078.0656235425324,1082.7131272933534,1089.2119038093556,1093.8734396158516,1099.9876289827534,1104.2876027483178,1111.2057501199952,1116.688784779496,1122.2340180313986,1127.9104677616865,1132.8445167153366,1138.2801017132044,1141.8535916746637,1148.130608853972,1150.8485303053767,1156.7683580148937,1161.986400706516,1171.0166302092484,1175.1638895718133,1180.702925968529,1188.2868582558688,1192.9682671489343,1201.386417526877,1205.7981993853114,1215.3859576519033,1215.550982004664,1219.4797904285517,1220.9695762061579,1227.090865518631,1228.4568340443045,1237.3213499542585,1243.5527908645406,1247.737988503015,1252.9231331991573,1252.1356321954397,1253.5305248263585,1250.4746305429805,1256.3440415469277,1262.1238835959753,1267.544544482525,1267.3354178134084,1272.3950252169934,1276.5045268671126,1283.6812248956899,1287.29051327469,1288.5594491046,1294.8176030815134,1300.868754177572,1307.9602081184148,1311.987179970607,1314.5815607476504,1317.696021923843,1322.6711105686306,1324.9020496640603,1324.8585370199266,1323.2483851586262,1324.6687076316716,1327.6662086960037,1335.9643121669228,1331.6569836105205,1326.2938333282816,1316.965705244035,1313.8214184750468,1313.3916539691484,1318.314636873553,1326.0003193272214,1332.7744758600775,1342.5599984095513,1348.8000172276902,1358.6187883339364,1366.0103179252565,1381.4624745975252,1399.8803098610204,1422.6188728336904,1448.8938650403522,1475.8241000394721,1501.5803604847902,1522.1462959507003,1541.5785654197175,1558.3516651786988,1573.725246874676,1588.9602719912918,1600.3350618602844,1616.5757210752777,1632.0667822070695,1654.5181365278756,1666.9890407892883,1671.3581114444905,1669.6596780189439,1663.4685716655679,1661.3063977302552,1660.0219888459112,1662.3323550854325,1665.0174970555192,1672.3227578305048,1675.1340818941546,1675.1997804120665,1668.286986823578,1665.1944758080308,1662.8914016498004,1663.995950925436,1667.1227591127345,1669.3678855758733,1671.0046947888989,1672.2405271375399,1671.8139254024159,1669.8718879635364,1666.962265479041,1665.5977725386258,1665.1059524794957,1665.3935733249498,1668.4578898127713,1671.6062095265838,1675.971639074859,1679.0310446054493,1682.2499549728602
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1361.4236229094208,1362.7756970798266,1365.6769902591177,1373.6630493383084,1380.952204263082,1389.2529560678577,1394.6494184575022,1400.3042554304536,1406.0122350750132,1415.6028632329853,1421.7636981809185,1429.3704639921305,1429.4853097082168,1436.8714709478402,1439.7241084148866,1441.22019394577,1446.0879970133428,1449.9151635255569,1458.4800703728172,1462.91639371462,1474.5128455355236,1478.972273236906,1487.060543901957,1489.3905995904636,1504.586502563537,1513.6924653345532,1525.852734981066,1536.9170939502096,1545.5538393802992,1555.3508497847913,1560.7174225220288,1571.1277769765222,1575.0112978724335,1580.5517890229219,1586.5044301131481,1594.4148169489513,1604.267426686608,1614.4262856660227,1623.9735739860062,1627.0482138192235,1629.7673287080743,1636.1815953369712,1644.4428553065031,1652.1328325146362,1662.3180801067867,1673.7338978394537,1683.3763245782986,1691.9266464478662,1695.2533769502943,1697.5650838960632,1701.9843422881736,1712.227159396337,1723.2862266126444,1731.0774302820148,1738.700387544366,1745.0457279946866,1751.0934500248804,1756.731487109427,1762.9078731974785,1770.2042444726108,1778.0355854670431,1787.6455655030024,1788.268425418804,1790.4758857680313,1787.1495089196019,1796.200931281448,1808.8076863032734,1831.3557681491209,1853.484792979808,1881.0789010059393,1908.7340039293751,1936.9340281499597,1962.7849587202738,1989.0663074414658,2012.8956718245606,2034.066017791662,2070.995655522936,2105.7968717186964,2152.2272310341177,2186.320934732749,2222.7246578391014,2244.575626633132,2268.884748680511,2283.2368117902943,2311.2479848015705,2326.8502576558203,2357.3528649338555,2384.872430916345,2405.6089118960986,2422.462152641551,2426.594883109639,2431.6019034438523,2431.8332193330857,2428.7521928439382,2429.3474661608566,2430.4809636353543,2440.978675088129,2445.609447516088,2450.5804852245606,2452.3642429639594,2455.1362544528483,2456.1313496182365,2455.9916870361053,2464.2365808133113,2465.77294504891,2487.3424853954953,2496.0490356835367,2505.9375890171614,2505.8403520637567,2515.552020040845,2517.68414671341,2524.07214212083,2529.1870196242144,2537.2944242088242,2549.369594249344,2556.607176084977,2570.403259659253,2572.728956692755,2582.298704335711,2592.4486067842886
