month,lou,q1,mean,q3
2015-01-31,820.1712175551613,828.6562751269025,887.0120074300166,917.0381900327857
2015-02-28,830.8609267094046,830.1669003953707,889.2139522589082,921.3632938444582
2015-03-31,838.1307300306013,832.1193851596904,892.4701246797032,924.9572152744763
2015-04-30,841.2435185759837,835.5165145821239,895.7825860377973,930.9776595484797
2015-05-31,834.9699494647466,835.2128331701647,898.5743887968522,938.5096143831963
2015-06-30,836.2542647239582,835.6134008955944,901.0503664454449,947.1284122637331
2015-07-31,835.4855108660572,837.0743597819564,904.4333669677301,952.3918177264862
2015-08-31,839.6760813241939,838.0683964070918,908.0346836563704,958.6283229622796
2015-09-30,840.8335051218432,841.7959452611001,911.1523479738603,961.6166883529792
2015-10-31,840.6913215406083,842.946084048391,914.4523305045842,966.2247693210643
2015-11-30,844.8523818345649,845.1279695437524,918.0310009093153,967.8948601773473
2015-12-31,849.1679875419255,846.9071459109664,922.2515310031317,973.5597883923604
2016-01-31,851.1183611457428,849.1514689389955,925.0726788551239,975.6161555448226
2016-02-29,850.0917258401888,850.6391676160322,926.8040607334518,979.6686003042936
2016-03-31,851.0340756267786,851.4232339507656,927.8911900376737,981.6907273475474
2016-04-30,855.6764810533623,852.7413704868029,929.1398727613058,983.6975539596804
2016-05-31,862.7228558076343,852.5990622820691,931.9999469457492,985.9853653918386
2016-06-30,867.6896318923405,855.0475909469511,935.1175118569209,988.4749862140349
2016-07-31,873.4489853755125,856.2365598356176,937.9559857988326,990.16101564286
2016-08-31,876.1324493365295,858.2704410689412,940.4032631377462,993.0489650548686
2016-09-30,878.9030121621556,861.0305280052189,943.2844761766752,996.1708076017152
2016-10-31,882.6967523354215,866.0429008838764,946.1663987515184,1000.0899190913769
2016-11-30,884.5037924698343,866.7711263384306,947.8193034809539,1001.4583861372896
2016-12-31,889.0930095441638,866.1896536806602,949.9379344314794,1001.8160465598105
2017-01-31,894.2421256537348,867.3957730454481,953.261692839669,1004.70043473979
2017-02-28,898.9790907253591,872.3303490734768,958.4915084087669,1009.9090175810829
2017-03-31,903.293191739048,876.8954737534592,963.478046081824,1017.6412379838118
2017-04-30,906.1890552488744,879.5266322378682,967.9260924644567,1023.4239931998366
2017-05-31,911.5392665520264,880.7664626002188,970.9856986476847,1027.2795104255058
2017-06-30,914.8839428826492,882.2199816940893,973.8534326174339,1030.6704499013456
2017-07-31,917.7414937644484,885.339738645334,977.1115487906519,1034.8084750667488
2017-08-31,918.7198875788616,886.9936466136114,979.5114535501855,1038.0632248058757
2017-09-30,922.6605247233048,890.8371806712496,982.7179875633304,1039.1342626722226
2017-10-31,922.7676546966068,891.1719562958692,984.9186285813163,1041.7658857840102
2017-11-30,927.3534379384738,895.6611135832338,988.1661021113251,1047.053421844855
2017-12-31,929.7501433912148,897.8348781211589,991.0245180809934,1054.7184705809948
2018-01-31,935.3183756240036,899.3518415098556,994.4579373367134,1060.454082694733
2018-02-28,935.9598272945268,900.7895265243857,998.6057726738301,1064.374088958843
2018-03-31,937.4000387635476,903.2983901102575,1001.9535741025397,1068.0385841703123
2018-04-30,939.3389573627462,905.4183237601816,1006.2842589340021,1073.2846134310735
2018-05-31,941.1110081011124,908.6395674796242,1009.2363453318392,1077.9144557167256
2018-06-30,940.7264797049512,911.8974686119693,1013.2364141905206,1082.1384305132983
2018-07-31,942.9394041405689,913.1476701238252,1016.1686505830622,1087.5134113738882
2018-08-31,946.5363201000572,916.7194319195195,1020.3422375580792,1091.9383706766894
2018-09-30,950.8870475902938,920.9447731483319,1023.3287902567969,1097.2819357200947
2018-10-31,953.1163919064136,925.4427669976128,1027.6749939396102,1101.437507551398
2018-11-30,958.2045374321496,926.8951469558422,1032.0185088442959,1108.8924700825107
2018-12-31,961.1962537025828,929.121302363668,1036.8056113324317,1111.5737195489364
2019-01-31,964.0272687935528,931.774041046949,1040.3971578323385,1115.9267651409841
2019-02-28,963.5991305863686,934.6240378596531,1042.7997853283555,1116.0806946384178
2019-03-31,967.1270170364886,936.5527649927371,1046.1201568732572,1118.8364408630077
2019-04-30,970.282979857061,938.1210097300346,1048.9973466910376,1121.420934765851
2019-05-31,972.1100517562156,940.7603750259607,1053.4374988085874,1125.539560024336
2019-06-30,976.7810102580478,944.9107911273663,1057.1714103556435,1130.2381160732791
2019-07-31,979.546842126298,948.6767139635521,1061.6674924659446,1133.947295831952
2019-08-31,982.6143017090816,951.4531995487879,1065.7575577857824,1138.6045569727107
2019-09-30,983.66654115956635,955.3242974636468,1070.3593007025224,1143.6636001649915
2019-10-31,988.0889673753692,958.8526069938306,1074.4475674097096,1148.7129094036982
2019-11-30,988.3211302508662,961.8585723958583,1078.3262778815854,1150.486316702891
2019-12-31,990.6747616541955,966.2089790860764,1082.0035187475355,1155.0693625279998
2020-01-31,991.5535261526046,972.8546952136066,1086.2002517639396,1158.9802517427029
2020-02-29,997.5980418418424,976.4778326488754,1090.685403268165,1166.7033291283226
2020-03-31,1003.3833956298434,986.4588820718658,1097.8616664121291,1172.2255794215907
2020-04-30,1005.2348794017583,991.3250965074252,1098.6979563402779,1173.022909504582
2020-05-31,1005.6775437442224,997.7135180370142,1099.0114769187671,1168.4514948719861
2020-06-30,1009.6840175041584,1001.1851810725293,1099.150795992596,1163.1943307922847
2020-07-31,1014.0863203582452,1004.881725867512,1102.9005800427935,1161.3550473185674
2020-08-31,1019.543469467324,1009.5565671722368,1108.3750294307954,1169.8936224871409
2020-09-30,1024.120265573392,1013.9354629719619,1114.2372613403318,1178.8297764275724
2020-10-31,1028.107672303316,1021.7734106565654,1122.6083779069527,1190.3678169177992
2020-11-30,1029.9219277641869,1027.4849763631164,1129.8040370159295,1201.370425940724
2020-12-31,1036.2247699143625,1032.0043480382053,1136.6443755042676,1213.2783798036783
2021-01-31,1035.9409652105453,1037.2202686059447,1142.6461892196903,1222.4314188127644
2021-02-28,1040.9076383151698,1043.5675384816298,1149.8670021244247,1230.9031259471033
2021-03-31,1040.0086983020265,1052.388205888928,1158.5340853170908,1245.0017009946723
2021-04-30,1047.99515807309,1060.9336660450213,1170.233222366023,1260.7254171389804
2021-05-31,1055.3696958016255,1071.4115568011305,1184.900533796847,1285.2503161309555
2021-06-30,1061.9704365276111,1081.116138722486,1195.251695800373,1300.9139153774581
2021-07-31,1070.8796821939518,1092.2751580202541,1219.3512897539824,1354.8641143706423
2021-08-31,1080.6626871412864,1105.3516807013107,1236.914578469528,1384.6281927970906
2021-09-30,1093.172241793841,1120.1904910764974,1253.9809201593137,1411.4425600314398
2021-10-31,1101.4290816938646,1134.9870455587743,1267.2551736706769,1429.2225728681956
2021-11-30,1112.2054453588423,1142.9939784430185,1279.190698689012,1437.8913462680955
2021-12-31,1121.7633813537625,1150.7641420171879,1291.7532878129553,1453.4539811224963
2022-01-31,1134.525523781073,1158.9134327924255,1302.2957821304476,1467.5761988930049
2022-02-28,1144.0618531944067,1167.2961571601047,1313.751309545031,1495.3206699553227
2022-03-31,1155.9883927346973,1176.722402296938,1322.776024138078,1504.6497938749148
2022-04-30,1166.6532250527805,1187.2584590941692,1336.8389882532588,1520.4504862198128
2022-05-31,1177.1050572482015,1197.793536081614,1348.3007497923581,1528.5848212253338
2022-06-30,1185.7664239086348,1206.1445161783088,1361.459346485305,1542.1489211782236
2022-07-31,1197.4000301582182,1212.5606068548807,1371.4869598304206,1548.8851620920575
2022-08-31,1208.2356579154505,1216.254827194319,1378.4462325983006,1552.8493071633668
2022-09-30,1215.9120361207808,1218.4757950086653,1381.4925239264794,1554.552049842378
2022-10-31,1219.1011822364094,1218.0809241322308,1383.8231078901233,1561.8032227158471
2022-11-30,1222.9884205508545,1221.8400653872604,1387.6186849695378,1566.4006353522805
2022-12-31,1224.4861374598242,1225.1542055389373,1392.3158311157124,1569.4770572034565
2023-01-31,1229.5391851908,1230.6334793673614,1397.801198066811,1570.1838939114878
2023-02-28,1232.783567317632,1234.332997742145,1402.6308498122073,1569.855993151426
2023-03-31,1241.1774389843592,1240.0375952129764,1409.2654879305962,1573.5313585278313
2023-04-30,1242.8359212872126,1248.3246806878005,1413.854845893163,1575.9545418418338
2023-05-31,1250.977328861706,1252.4918010187837,1419.4551466760597,1583.196305527466
2023-06-30,1253.408415451412,1254.4258239220958,1421.1472852837403,1584.6354579446731
2023-07-31,1259.1046750718706,1256.1191821421323,1423.4250784034925,1586.7032408262048
2023-08-31,1261.364685206157,1262.9874124322707,1425.9010882373975,1586.382369036718
2023-09-30,1267.6399256760549,1265.7863279404103,1430.938361091352,1588.2545849321955
2023-10-31,1274.0866194385085,1274.9321454348596,1436.9549859638032,1588.2424329284927
2023-11-30,1288.1332112956477,1280.639490937126,1442.8032043624992,1591.3240622236426
2023-12-31,1298.952254638124,1291.4084898033261,1447.8273614635516,1590.9641321556758
2024-01-31,1306.5292366265485,1297.3903421897915,1453.5984530757778,1596.8291008270148
2024-02-29,1315.6649333838134,1304.0044338977157,1458.7470285029246,1600.9181045682017
2024-03-31,1320.5672650725487,1309.2430560461378,1463.058199586096,1604.0622298449346
2024-04-30,1329.3151529644151,1310.8912198847408,1465.5207606386743,1603.665520380806
2024-05-31,1333.0286619631156,1315.739658470186,1467.6705245094422,1603.094678861577
2024-06-30,1342.1904244959244,1320.590481782106,1471.3552490105133,1602.8815105390404
2024-07-31,1346.486946573126,1325.6467363749541,1475.748421674787,1603.9064415814241
2024-08-31,1353.5567747927555,1327.3752451153555,1481.318501050964,1607.2825819906654
2024-09-30,1358.2177198502272,1331.813612258246,1486.7377486093212,1612.1007473012962
2024-10-31,1365.801847778902,1335.23133432625,1492.2722569954012,1618.3635690871845
2024-11-30,1366.0082988066508,1339.338266773902,1497.2416605589663,1623.8227169517445
2024-12-31,1369.794349239244,1338.7506159877037,1501.9422184708935,1629.662451147768
